ID,category,model_name,source_url
230,toilet,toilet1,https://sketchfab.com/3d-models/toilet-132a8ee2af3a40d39d270fbed3d3666c
231,toilet,toilet2,https://sketchfab.com/3d-models/portal-toilet-f36617febb6249fc916af0e27c3bc442
232,toilet,toilet3,https://sketchfab.com/3d-models/japanese-toilet-b29fdd25cf4b458394b74263244678e8
233,teapot_and_kettle,teapot1,https://sketchfab.com/3d-models/teapot-draft-bb9d7b9c48cd452ab01661fd7ae8be25
234,teapot_and_kettle,teapot4,https://sketchfab.com/3d-models/teapot-d9dba4e568cc4f6786febf6dc1fef91d
235,vase,vase1,https://sketchfab.com/3d-models/vase-03b2ed38e5b746af86025285ad963fed
236,vase,vase2,https://sketchfab.com/3d-models/apothecary-vase-for-grey-ointment-07dc554eee844cd894e9d4d41a2d201a
237,vase,vase3,https://sketchfab.com/3d-models/vase-1c4b313f1a8a40959eadae52ab22e360
238,vase,vase4,https://sketchfab.com/3d-models/antique-vase-lp-2-1d01a2be60e4480e878f5921846d2da0
239,vase,vase5,https://sketchfab.com/3d-models/ceramic-vase-pasu-2145133ee93248c4991aaacdc338a927
240,vase,vase6,https://sketchfab.com/3d-models/vase-2d7cfafbbac8467da136bbb692d5aa64
241,vase,vase7,https://sketchfab.com/3d-models/intro-review-vase-321918b9ff4740a9a5ba0b91e52793c8
242,vase,vase8,https://sketchfab.com/3d-models/18th-c-chinese-cloisonne-vase-396bb981dc4d47d080d5af127826d206
243,vase,vase9,https://sketchfab.com/3d-models/4k-antique-ceramic-vase-5952108871aa4e5eb63258dca1c93fb2
244,vase,vase10,https://sketchfab.com/3d-models/vase-7f8039c1671b4bbba7d5a6c0c40ed6a9
245,washing_machine,washing_machine1,https://sketchfab.com/3d-models/game-ready-washing-machine-6043c99592764c54b42f0af4a5d89f0c
246,washing_machine,washing_machine3,https://sketchfab.com/3d-models/washing-machine-cb7b2c3673c24d24a9615ed864735a31
247,wine,wine1,https://sketchfab.com/3d-models/wine-bottle-44fb75db4f5641deae1425d220d5eba9
248,wine,wine2,https://sketchfab.com/3d-models/classic-wine-bottle-with-label-7ce93c8c3db74d3eb6421b5579717938
249,wine,wine3,https://sketchfab.com/3d-models/3d-wine-bottle-model-399587f06b894b00bea59ee03841dbb6
